?derivedStem	?num	?pers	?gen	?token
"Base"	"Singular"	"Person1"	"Common"	"beek-a"
"Base"	"Singular"	"Person2"	"Common"	"beek-ta"
"Base"	"Singular"	"Person3"	"Masc"	"beek-a"
"Base"	"Singular"	"Person3"	"Fem"	"beek-ti"
"Base"	"Plural"	"Person1"	"Common"	"beek-na"
"Base"	"Plural"	"Person2"	"Common"	"beek-tu"
"Base"	"Plural"	"Person3"	"Common"	"beek-u"
"M"	"Singular"	"Person1"	"Common"	"beek-am-a"
"M"	"Singular"	"Person2"	"Common"	"beek-am-ta"
"M"	"Singular"	"Person3"	"Masc"	"beek-am-a"
"M"	"Singular"	"Person3"	"Fem"	"beek-am-ti"
"M"	"Plural"	"Person1"	"Common"	"beek-am-na"
"M"	"Plural"	"Person2"	"Common"	"beek-am-tu"
"M"	"Plural"	"Person3"	"Common"	"beek-am-u"
"S"	"Singular"	"Person1"	"Common"	"beek-sis-a"
"S"	"Singular"	"Person2"	"Common"	"beek-sif-ta"
"S"	"Singular"	"Person3"	"Masc"	"beek-sis-a"
"S"	"Singular"	"Person3"	"Fem"	"beek-sif-ti"
"S"	"Plural"	"Person1"	"Common"	"beek-sif-na"
"S"	"Plural"	"Person2"	"Common"	"beek-sif-tu"
"S"	"Plural"	"Person3"	"Common"	"beek-sis-u"
"T"	"Singular"	"Person1"	"Common"	"beek-ad-a"
"T"	"Singular"	"Person2"	"Common"	"beek-at-ta"
"T"	"Singular"	"Person3"	"Masc"	"beek-at-a"
"T"	"Singular"	"Person3"	"Fem"	"beek-at-ti"
"T"	"Plural"	"Person1"	"Common"	"beek-an-na"
"T"	"Plural"	"Person2"	"Common"	"beek-at-tu"
"T"	"Plural"	"Person3"	"Common"	"beek-at-u"
