?multiLexLabel	?property
"DERVSTEMFORM"	"conjClass"
"DERVSTEMFORM"	"derivedStem"
"DERVSTEMFORM"	"derivedStemAug"
"DERVSTEMFORM"	"pdgmType"
"DERVSTEMFORM"	"rootClass"
"DERVSTEMFORM"	"token"
"DERVSTEMFORM"	"token-gloss"
"TENSESTEM"	"conjClass"
"TENSESTEM"	"derivedStem"
"TENSESTEM"	"derivedStemAug"
"TENSESTEM"	"formType"
"TENSESTEM"	"rootClass"
"TENSESTEM"	"tamStemClass"
"TENSESTEM"	"token"
"VERBALPARTICIPLES"	"conjClass"
"VERBALPARTICIPLES"	"derivedStem"
"VERBALPARTICIPLES"	"nonFiniteForm"
"VERBALPARTICIPLES"	"participle"
"VERBALPARTICIPLES"	"token"
"VERBALPARTICIPLES"	"token-affix"
"VERBALPARTICIPLES"	"token-gloss"
